year,month,day_of_week,hour_of_day,province,district,road_type,road_condition,weather_condition,lighting_condition,vehicle_type,vehicles_involved,accident_cause,is_rush_hour,is_weekend,is_night,is_foggy_month,num_injured,num_killed,severity
2018,1,Thursday,14,Punjab,Sialkot,Urban Road,Good,Rainy,Daylight,Motorcycle,1,Wrong Overtaking,0,0,0,1,2,0,Medium
2023,4,Thursday,14,Punjab,Bahawalpur,National Highway,Good,Clear,Daylight,Truck/Lorry,4,Over Speeding,0,0,0,0,4,1,Medium
2020,3,Friday,7,Punjab,Faisalabad,Provincial Highway,Poor,Clear,Daylight,Motorcycle,2,Over Speeding,1,0,0,0,1,1,Medium
2021,3,Sunday,11,KPK,Kohat,Rural Road,Good,Clear,Street Light,Truck/Lorry,2,Road Condition,0,1,0,0,2,0,Low
2019,9,Friday,14,Sindh,Larkana,Rural Road,Average,Clear,Daylight,Motorcycle,1,Road Condition,0,0,0,0,4,1,Medium
2021,10,Thursday,8,Balochistan,Dera Bugti,National Highway,Good,Clear,Daylight,Bus/Coach,1,Mechanical Failure,1,0,0,0,4,0,Medium
2020,6,Tuesday,17,Punjab,Rawalpindi,Urban Road,Average,Foggy,Daylight,Car/Taxi,2,Road Condition,1,0,0,0,1,0,Low
2018,5,Thursday,12,Punjab,Rahim Yar Khan,Provincial Highway,Good,Clear,Daylight,Truck/Lorry,2,Over Speeding,1,0,0,0,2,0,Medium
2023,4,Sunday,22,Punjab,Bahawalpur,National Highway,Under Repair,Clear,No Light,Rickshaw,4,Over Speeding,0,1,1,0,6,4,High
2021,7,Tuesday,12,Sindh,Hyderabad,Rural Road,Average,Dusty/Smoggy,Street Light,Rickshaw,2,Over Speeding,1,0,0,0,0,0,Low
2023,12,Sunday,8,Gilgit-Baltistan,Gilgit,Rural Road,Poor,Dusty/Smoggy,Daylight,Motorcycle,2,Signal Violation,1,1,0,1,5,1,Medium
2022,6,Monday,21,KPK,Peshawar,Provincial Highway,Good,Clear,Street Light,Truck/Lorry,1,Mechanical Failure,0,0,0,0,3,1,Medium
2023,1,Thursday,12,Punjab,Rahim Yar Khan,National Highway,Average,Foggy,Daylight,Motorcycle,2,Pedestrian Error,1,0,0,1,2,2,High
2018,6,Tuesday,5,Balochistan,Hub,Provincial Highway,Poor,Rainy,Dawn/Dusk,Bicycle,1,Over Speeding,0,0,1,0,5,4,High
2019,8,Wednesday,20,KPK,Bannu,National Highway,Under Repair,Rainy,No Light,Motorcycle,2,Signal Violation,1,0,0,0,8,2,High
2023,10,Monday,11,Punjab,Multan,Urban Road,Good,Clear,No Light,Motorcycle,3,Driver Fatigue,0,0,0,0,5,0,Medium
2023,1,Tuesday,10,KPK,Nowshera,Rural Road,Good,Clear,Daylight,Motorcycle,3,Signal Violation,0,0,0,1,2,0,Low
2019,10,Wednesday,6,Punjab,Faisalabad,National Highway,Average,Foggy,Daylight,Van/Pickup,1,Pedestrian Error,0,0,0,0,1,0,Medium
2022,8,Thursday,13,Punjab,Rawalpindi,Urban Road,Average,Rainy,Daylight,Motorcycle,1,Road Condition,1,0,0,0,0,0,Low
2019,12,Tuesday,9,Punjab,Rahim Yar Khan,National Highway,Average,Clear,Daylight,Bus/Coach,2,Wrong Overtaking,1,0,0,1,5,0,Medium
2023,1,Tuesday,9,Sindh,Dadu,National Highway,Good,Foggy,Daylight,Van/Pickup,1,Signal Violation,1,0,0,1,5,1,Medium
2023,7,Tuesday,8,Sindh,Mirpur Khas,Provincial Highway,Good,Foggy,Daylight,Truck/Lorry,3,Signal Violation,1,0,0,0,11,0,High
2019,6,Tuesday,21,Punjab,Sialkot,Provincial Highway,Average,Foggy,No Light,Bicycle,3,Signal Violation,0,0,0,0,4,0,High
2022,9,Tuesday,16,Punjab,Rawalpindi,National Highway,Good,Rainy,Daylight,Car/Taxi,2,Road Condition,0,0,0,0,4,0,Medium
2019,7,Thursday,7,KPK,Mansehra,Motorway,Poor,Clear,Daylight,Motorcycle,2,Pedestrian Error,1,0,0,0,4,0,Medium
2021,4,Sunday,18,Gilgit-Baltistan,Hunza,National Highway,Good,Clear,Daylight,Bus/Coach,1,Wrong Overtaking,1,1,0,0,10,0,High
2023,1,Thursday,14,KPK,Dera Ismail Khan,Provincial Highway,Average,Clear,Dawn/Dusk,Motorcycle,1,Signal Violation,0,0,0,1,3,0,Medium
2022,11,Saturday,15,Punjab,Bahawalpur,Provincial Highway,Good,Foggy,Street Light,Motorcycle,2,Road Condition,0,1,0,1,3,0,High
2019,6,Sunday,11,Punjab,Rahim Yar Khan,Rural Road,Good,Clear,Daylight,Bus/Coach,2,Wrong Overtaking,0,1,0,0,1,0,Low
2019,5,Thursday,14,Punjab,Lahore,Rural Road,Good,Dusty/Smoggy,Daylight,Car/Taxi,2,Over Speeding,0,0,0,0,3,2,Medium
2022,6,Sunday,5,Punjab,Rahim Yar Khan,Urban Road,Under Repair,Clear,Dawn/Dusk,Rickshaw,2,Weather Condition,0,1,1,0,1,0,Low
2023,12,Wednesday,11,Sindh,Thatta,Urban Road,Average,Clear,Daylight,Truck/Lorry,1,Road Condition,0,0,0,1,1,0,Low
2020,6,Wednesday,7,Sindh,Thatta,Rural Road,Poor,Rainy,Daylight,Truck/Lorry,2,Signal Violation,1,0,0,0,3,0,Medium
2023,11,Wednesday,23,KPK,Nowshera,Provincial Highway,Good,Clear,Street Light,Van/Pickup,2,Wrong Overtaking,0,0,1,1,3,1,Medium
2018,8,Monday,16,KPK,Swat,National Highway,Poor,Foggy,Daylight,Motorcycle,1,Weather Condition,0,0,0,0,1,1,Medium
2022,11,Saturday,6,Punjab,Lahore,Rural Road,Poor,Clear,Street Light,Van/Pickup,2,Wrong Overtaking,0,1,0,1,0,0,Low
2021,10,Friday,22,Punjab,Rahim Yar Khan,National Highway,Under Repair,Foggy,Street Light,Rickshaw,3,Driver Fatigue,0,0,1,0,8,2,High
2022,5,Friday,19,KPK,Mardan,Provincial Highway,Average,Clear,Street Light,Motorcycle,4,Road Condition,1,0,0,0,4,0,Medium
2019,3,Saturday,21,Punjab,Rahim Yar Khan,Rural Road,Average,Foggy,No Light,Motorcycle,2,Drunk Driving,0,1,0,0,3,0,High
2021,1,Monday,14,Punjab,Rawalpindi,Urban Road,Average,Rainy,Daylight,Van/Pickup,1,Road Condition,0,0,0,1,0,0,Low
2022,7,Wednesday,19,Punjab,Gujranwala,National Highway,Poor,Dusty/Smoggy,Dawn/Dusk,Motorcycle,3,Over Speeding,1,0,0,0,9,1,High
2019,9,Friday,19,Punjab,Rawalpindi,National Highway,Good,Rainy,No Light,Van/Pickup,3,Pedestrian Error,1,0,0,0,3,1,Medium
2021,5,Tuesday,6,Punjab,Bahawalpur,National Highway,Poor,Foggy,Daylight,Van/Pickup,3,Over Speeding,0,0,0,0,2,0,Medium
2022,6,Sunday,10,KPK,Mansehra,National Highway,Good,Foggy,Dawn/Dusk,Rickshaw,2,Road Condition,0,1,0,0,2,0,Low
2021,10,Wednesday,7,Balochistan,Khuzdar,National Highway,Good,Dusty/Smoggy,Daylight,Motorcycle,2,Over Speeding,1,0,0,0,8,2,High
2021,5,Friday,13,Punjab,Faisalabad,Urban Road,Good,Clear,Street Light,Rickshaw,2,Mechanical Failure,1,0,0,0,1,0,Low
2019,11,Saturday,14,Punjab,Rawalpindi,National Highway,Good,Clear,Dawn/Dusk,Motorcycle,4,Wrong Overtaking,0,1,0,1,7,3,High
2019,8,Thursday,11,KPK,Mardan,Motorway,Good,Foggy,Street Light,Motorcycle,2,Mechanical Failure,0,0,0,0,8,3,High
2018,10,Sunday,8,Punjab,Rawalpindi,National Highway,Poor,Clear,Daylight,Motorcycle,1,Over Speeding,1,1,0,0,6,0,High
2021,2,Tuesday,21,Punjab,Sheikhupura,National Highway,Good,Foggy,No Light,Bus/Coach,2,Road Condition,0,0,0,1,3,2,High
2021,4,Sunday,10,Punjab,Lahore,National Highway,Poor,Clear,Dawn/Dusk,Rickshaw,3,Over Speeding,0,1,0,0,2,0,Medium
2023,7,Monday,7,Punjab,Rawalpindi,National Highway,Poor,Clear,Daylight,Motorcycle,1,Wrong Overtaking,1,0,0,0,2,0,High
2022,11,Sunday,21,KPK,Nowshera,Motorway,Good,Clear,No Light,Other,3,Pedestrian Error,0,1,0,1,0,0,Low
2020,3,Sunday,6,KPK,Mardan,Provincial Highway,Poor,Clear,Daylight,Motorcycle,2,Wrong Overtaking,0,1,0,0,7,3,High
2021,11,Wednesday,19,Punjab,Rawalpindi,Urban Road,Poor,Clear,Dawn/Dusk,Motorcycle,1,Signal Violation,1,0,0,1,3,1,Medium
2023,3,Friday,13,Punjab,Sialkot,Urban Road,Good,Dusty/Smoggy,Dawn/Dusk,Motorcycle,2,Over Speeding,1,0,0,0,3,3,High
2022,1,Thursday,19,Punjab,Faisalabad,Provincial Highway,Under Repair,Clear,Dawn/Dusk,Motorcycle,2,Pedestrian Error,1,0,0,1,0,1,Low
2021,3,Tuesday,12,Punjab,Lahore,Provincial Highway,Average,Clear,Daylight,Car/Taxi,2,Signal Violation,1,0,0,0,1,0,Low
2021,2,Friday,8,Gilgit-Baltistan,Skardu,Provincial Highway,Good,Rainy,Daylight,Motorcycle,3,Over Speeding,1,0,0,1,11,0,High
2021,1,Friday,14,Sindh,Hyderabad,Urban Road,Average,Clear,Daylight,Motorcycle,2,Pedestrian Error,0,0,0,1,1,0,Medium
2023,1,Saturday,22,Sindh,Larkana,Provincial Highway,Good,Clear,Street Light,Bus/Coach,2,Mobile Phone Use,0,1,1,1,1,1,Medium
2023,12,Friday,17,KPK,Kohat,Provincial Highway,Average,Clear,Daylight,Car/Taxi,2,Pedestrian Error,1,0,0,1,0,0,Low
2023,5,Wednesday,11,Balochistan,Quetta,National Highway,Average,Dusty/Smoggy,Daylight,Rickshaw,3,Road Condition,0,0,0,0,1,2,Medium
2020,1,Friday,7,KPK,Swat,Urban Road,Average,Clear,Daylight,Motorcycle,1,Wrong Overtaking,1,0,0,1,5,0,Medium
2020,2,Monday,12,Punjab,Gujranwala,Provincial Highway,Average,Clear,No Light,Car/Taxi,3,Drunk Driving,1,0,0,1,0,0,Low
2020,3,Saturday,22,Punjab,Multan,National Highway,Average,Clear,No Light,Truck/Lorry,2,Over Speeding,0,1,1,0,10,0,High
2020,4,Friday,7,Sindh,Hyderabad,Provincial Highway,Poor,Clear,Daylight,Motorcycle,2,Road Condition,1,0,0,0,0,0,Low
2022,12,Monday,14,Punjab,Lahore,National Highway,Under Repair,Clear,Daylight,Car/Taxi,1,Pedestrian Error,0,0,0,1,0,1,Low
2022,10,Wednesday,21,AJK,Mirpur,National Highway,Average,Clear,Street Light,Van/Pickup,2,Over Speeding,0,0,0,0,4,0,Medium
2021,5,Wednesday,19,KPK,Mardan,Motorway,Good,Extreme Heat,Street Light,Car/Taxi,2,Drunk Driving,1,0,0,0,3,0,Medium
2022,11,Friday,12,Islamabad,Islamabad,Rural Road,Good,Clear,Street Light,Car/Taxi,3,Drunk Driving,1,0,0,1,2,0,Medium
2018,5,Friday,9,Punjab,Rahim Yar Khan,Motorway,Good,Extreme Heat,Daylight,Van/Pickup,1,Pedestrian Error,1,0,0,0,1,1,Medium
2018,9,Monday,10,Balochistan,Sibi,Rural Road,Average,Clear,Daylight,Motorcycle,4,Drunk Driving,0,0,0,0,4,2,High
2022,1,Saturday,12,Punjab,Multan,Motorway,Good,Clear,Daylight,Motorcycle,4,Wrong Overtaking,1,1,0,1,8,2,High
2022,9,Saturday,8,AJK,Mirpur,Provincial Highway,Poor,Clear,Daylight,Car/Taxi,1,Signal Violation,1,1,0,0,2,0,Low
2019,6,Thursday,9,Punjab,Rawalpindi,Urban Road,Under Repair,Clear,Daylight,Motorcycle,3,Signal Violation,1,0,0,0,5,0,Medium
2023,12,Wednesday,14,Sindh,Jacobabad,National Highway,Poor,Clear,Daylight,Motorcycle,2,Driver Fatigue,0,0,0,1,4,0,High
2020,1,Thursday,19,KPK,Abbottabad,Provincial Highway,Good,Clear,No Light,Car/Taxi,2,Pedestrian Error,1,0,0,1,2,0,Low
2023,6,Sunday,19,Sindh,Kashmore,Urban Road,Good,Clear,Dawn/Dusk,Motorcycle,2,Over Speeding,1,1,0,0,5,1,High
2018,3,Friday,8,Sindh,Thatta,National Highway,Poor,Clear,Daylight,Motorcycle,1,Signal Violation,1,0,0,0,4,0,Medium
2022,6,Friday,12,AJK,Muzaffarabad,Rural Road,Average,Clear,Daylight,Motorcycle,1,Wrong Overtaking,1,0,0,0,2,1,Medium
2019,1,Tuesday,11,Sindh,Larkana,National Highway,Poor,Clear,Daylight,Car/Taxi,3,Over Speeding,0,0,0,1,5,0,Medium
2023,5,Sunday,21,Sindh,Karachi,Rural Road,Good,Foggy,Street Light,Motorcycle,3,Drunk Driving,0,1,0,0,9,1,High
2020,8,Friday,13,Punjab,Gujranwala,Urban Road,Average,Rainy,Street Light,Motorcycle,2,Signal Violation,1,0,0,0,10,0,High
2022,1,Saturday,10,Balochistan,Sibi,Rural Road,Poor,Rainy,Dawn/Dusk,Motorcycle,3,Road Condition,0,1,0,1,3,0,Medium
2020,4,Monday,19,Sindh,Thatta,National Highway,Good,Clear,Dawn/Dusk,Motorcycle,1,Wrong Overtaking,1,0,0,0,1,0,Medium
2020,12,Thursday,11,Punjab,Multan,Urban Road,Average,Clear,Daylight,Motorcycle,2,Driver Fatigue,0,0,0,1,9,2,High
2022,3,Thursday,22,Punjab,Sheikhupura,National Highway,Good,Rainy,Street Light,Motorcycle,4,Over Speeding,0,0,1,0,5,0,High
2023,5,Friday,20,Sindh,Jacobabad,National Highway,Average,Foggy,No Light,Motorcycle,1,Signal Violation,1,0,0,0,9,0,High
2023,1,Saturday,12,Punjab,Faisalabad,National Highway,Average,Rainy,Daylight,Van/Pickup,1,Wrong Overtaking,1,1,0,1,5,2,Medium
2022,2,Tuesday,16,Punjab,Sargodha,Rural Road,Good,Rainy,Daylight,Motorcycle,3,Drunk Driving,0,0,0,1,7,0,High
2021,5,Thursday,19,Sindh,Larkana,Rural Road,Good,Clear,Dawn/Dusk,Motorcycle,2,Signal Violation,1,0,0,0,3,1,Medium
2020,6,Monday,0,Punjab,Gujranwala,National Highway,Good,Foggy,Street Light,Motorcycle,2,Drunk Driving,0,0,1,0,7,0,High
2023,11,Thursday,23,Punjab,Lahore,National Highway,Good,Foggy,No Light,Bus/Coach,1,Road Condition,0,0,1,1,5,0,Medium
2018,1,Thursday,21,Sindh,Larkana,Rural Road,Poor,Clear,No Light,Car/Taxi,3,Mechanical Failure,0,0,0,1,0,0,Low
2019,10,Sunday,11,Punjab,Faisalabad,Provincial Highway,Average,Extreme Heat,Daylight,Motorcycle,1,Mechanical Failure,0,1,0,0,2,0,Medium
2021,1,Friday,22,Punjab,Sheikhupura,Provincial Highway,Good,Dusty/Smoggy,Street Light,Motorcycle,2,Signal Violation,0,0,1,1,6,2,High
2021,6,Thursday,8,Punjab,Bahawalpur,Urban Road,Average,Rainy,Daylight,Bicycle,2,Over Speeding,1,0,0,0,3,1,High
2018,11,Saturday,14,Sindh,Sukkur,Provincial Highway,Average,Clear,Daylight,Car/Taxi,2,Wrong Overtaking,0,1,0,1,0,0,Low
2019,8,Saturday,7,KPK,Nowshera,Urban Road,Good,Clear,Daylight,Motorcycle,2,Over Speeding,1,1,0,0,1,0,Medium
2021,6,Tuesday,8,KPK,Nowshera,National Highway,Good,Clear,Daylight,Motorcycle,2,Wrong Overtaking,1,0,0,0,2,0,High
2018,9,Monday,8,Punjab,Sialkot,Urban Road,Poor,Clear,Daylight,Car/Taxi,2,Wrong Overtaking,1,0,0,0,2,0,Low
2019,1,Sunday,11,Punjab,Rawalpindi,Rural Road,Average,Rainy,Daylight,Motorcycle,4,Wrong Overtaking,0,1,0,1,3,0,Medium
2022,1,Sunday,23,Punjab,Sheikhupura,Rural Road,Under Repair,Clear,Street Light,Motorcycle,1,Mechanical Failure,0,1,1,1,1,0,Low
2019,11,Sunday,6,Sindh,Dadu,Rural Road,Good,Clear,Street Light,Car/Taxi,4,Weather Condition,0,1,0,1,0,0,Low
2023,7,Wednesday,3,Islamabad,Islamabad,National Highway,Average,Clear,Street Light,Motorcycle,2,Over Speeding,0,0,1,0,9,2,High
2023,8,Saturday,12,Punjab,Sialkot,Rural Road,Good,Clear,Daylight,Rickshaw,2,Pedestrian Error,1,1,0,0,0,0,Low
2018,12,Sunday,5,Punjab,Rawalpindi,National Highway,Good,Dusty/Smoggy,Dawn/Dusk,Motorcycle,1,Road Condition,0,1,1,1,4,1,High
2020,1,Saturday,10,Punjab,Multan,Rural Road,Poor,Clear,Street Light,Truck/Lorry,1,Wrong Overtaking,0,1,0,1,1,0,Medium
2023,12,Tuesday,14,Sindh,Mirpur Khas,National Highway,Good,Clear,Street Light,Bicycle,1,Driver Fatigue,0,0,0,1,6,0,High
2023,6,Saturday,15,KPK,Bannu,National Highway,Good,Clear,Dawn/Dusk,Motorcycle,2,Over Speeding,0,1,0,0,9,1,High
2023,11,Sunday,20,Sindh,Sukkur,Urban Road,Average,Foggy,No Light,Motorcycle,2,Road Condition,1,1,0,1,4,0,Medium
2022,6,Monday,9,Balochistan,Sibi,Urban Road,Poor,Clear,No Light,Motorcycle,2,Mechanical Failure,1,0,0,0,3,1,Medium
2023,7,Wednesday,13,Sindh,Mirpur Khas,Motorway,Poor,Clear,Dawn/Dusk,Motorcycle,1,Over Speeding,1,0,0,0,3,2,High
2021,11,Sunday,12,Punjab,Sialkot,Provincial Highway,Poor,Clear,Daylight,Bicycle,2,Wrong Overtaking,1,1,0,1,4,1,Medium
2023,11,Tuesday,7,Punjab,Faisalabad,Provincial Highway,Average,Clear,Daylight,Car/Taxi,3,Drunk Driving,1,0,0,1,3,2,Medium
2020,7,Friday,18,KPK,Mardan,Urban Road,Average,Extreme Heat,Daylight,Rickshaw,2,Wrong Overtaking,1,0,0,0,2,0,Low
2019,5,Saturday,22,Sindh,Hyderabad,Rural Road,Good,Clear,Street Light,Motorcycle,2,Driver Fatigue,0,1,1,0,4,0,High
2020,11,Monday,6,Sindh,Jacobabad,Rural Road,Good,Clear,Daylight,Motorcycle,2,Wrong Overtaking,0,0,0,1,1,0,Low
2022,11,Friday,17,KPK,Mansehra,Rural Road,Poor,Foggy,Daylight,Car/Taxi,1,Over Speeding,1,0,0,1,3,0,Medium
2023,12,Wednesday,14,Sindh,Jacobabad,Provincial Highway,Poor,Foggy,Daylight,Motorcycle,1,Road Condition,0,0,0,1,8,0,High
2021,12,Friday,21,Balochistan,Khuzdar,Rural Road,Under Repair,Clear,Street Light,Motorcycle,1,Road Condition,0,0,0,1,1,0,Medium
2020,12,Saturday,6,Sindh,Larkana,Rural Road,Poor,Clear,Daylight,Motorcycle,2,Wrong Overtaking,0,1,0,1,1,0,Medium
2020,4,Wednesday,21,KPK,Mansehra,National Highway,Poor,Clear,Street Light,Car/Taxi,2,Over Speeding,0,0,0,0,3,1,Medium
2023,1,Saturday,22,Punjab,Rawalpindi,Provincial Highway,Poor,Clear,Street Light,Car/Taxi,2,Signal Violation,0,1,1,1,1,0,Low
2021,12,Thursday,19,KPK,Peshawar,National Highway,Good,Foggy,Daylight,Motorcycle,3,Wrong Overtaking,1,0,0,1,10,1,High
2018,3,Saturday,14,Balochistan,Zhob,National Highway,Good,Extreme Heat,Street Light,Motorcycle,1,Pedestrian Error,0,1,0,0,9,1,High
2023,12,Friday,15,Punjab,Rahim Yar Khan,Rural Road,Good,Clear,Street Light,Car/Taxi,1,Wrong Overtaking,0,0,0,1,2,0,Low
2022,10,Sunday,6,KPK,Dera Ismail Khan,Rural Road,Good,Foggy,Daylight,Van/Pickup,1,Weather Condition,0,1,0,0,0,0,Low
2020,5,Tuesday,13,KPK,Mardan,Provincial Highway,Average,Clear,Street Light,Car/Taxi,2,Wrong Overtaking,1,0,0,0,0,1,Low
2018,7,Monday,15,Punjab,Sargodha,Provincial Highway,Good,Dusty/Smoggy,Daylight,Motorcycle,2,Driver Fatigue,0,0,0,0,7,0,High
2019,12,Tuesday,15,Sindh,Mirpur Khas,Provincial Highway,Good,Clear,Daylight,Car/Taxi,3,Over Speeding,0,0,0,1,2,0,Medium
2022,12,Thursday,22,Punjab,Lahore,Urban Road,Good,Clear,No Light,Motorcycle,2,Road Condition,0,0,1,1,2,1,Medium
2023,11,Wednesday,15,Islamabad,Islamabad,Motorway,Good,Clear,Daylight,Truck/Lorry,3,Over Speeding,0,0,0,1,5,1,High
2021,8,Saturday,21,KPK,Bannu,Rural Road,Average,Foggy,No Light,Motorcycle,1,Pedestrian Error,0,1,0,0,3,2,Medium
2022,8,Saturday,15,Punjab,Faisalabad,National Highway,Poor,Foggy,Daylight,Motorcycle,2,Road Condition,0,1,0,0,1,0,Medium
2018,3,Saturday,16,Punjab,Faisalabad,Rural Road,Good,Clear,Daylight,Rickshaw,2,Over Speeding,0,1,0,0,0,0,Low
2018,12,Wednesday,6,Sindh,Kashmore,Provincial Highway,Good,Rainy,Daylight,Car/Taxi,4,Weather Condition,0,0,0,1,1,0,Low
2020,9,Friday,13,Punjab,Rahim Yar Khan,Rural Road,Poor,Clear,Dawn/Dusk,Rickshaw,2,Signal Violation,1,0,0,0,1,0,Low
2022,12,Wednesday,12,Punjab,Multan,Rural Road,Good,Clear,Daylight,Motorcycle,1,Driver Fatigue,1,0,0,1,1,2,Medium
2021,12,Monday,6,Sindh,Hyderabad,Provincial Highway,Under Repair,Rainy,Daylight,Bus/Coach,1,Over Speeding,0,0,0,1,4,0,High
2021,7,Friday,0,Punjab,Rahim Yar Khan,National Highway,Average,Clear,Street Light,Bus/Coach,1,Drunk Driving,0,0,1,0,6,0,High
2023,9,Sunday,9,Punjab,Sialkot,Provincial Highway,Average,Foggy,Daylight,Truck/Lorry,2,Mechanical Failure,1,1,0,0,3,0,Medium
2022,2,Sunday,18,KPK,Kohat,National Highway,Average,Rainy,Daylight,Van/Pickup,4,Pedestrian Error,1,1,0,1,2,0,Low
2021,10,Sunday,20,Balochistan,Dera Bugti,Provincial Highway,Good,Clear,No Light,Truck/Lorry,2,Over Speeding,1,1,0,0,3,0,Medium
2018,8,Sunday,22,KPK,Dera Ismail Khan,Rural Road,Good,Clear,Street Light,Motorcycle,2,Drunk Driving,0,1,1,0,7,1,High
2020,1,Monday,7,KPK,Abbottabad,Rural Road,Good,Clear,Daylight,Motorcycle,1,Wrong Overtaking,1,0,0,1,2,0,Low
2020,8,Sunday,20,Punjab,Faisalabad,Provincial Highway,Good,Clear,Street Light,Van/Pickup,1,Pedestrian Error,1,1,0,0,1,0,Low
2022,4,Tuesday,6,Punjab,Sialkot,Urban Road,Good,Clear,Daylight,Motorcycle,2,Pedestrian Error,0,0,0,0,2,0,Low
2018,12,Friday,20,Punjab,Faisalabad,Urban Road,Good,Clear,Street Light,Other,1,Road Condition,1,0,0,1,2,0,Low
2023,8,Tuesday,20,KPK,Swat,Urban Road,Under Repair,Clear,Street Light,Motorcycle,2,Signal Violation,1,0,0,0,2,0,Low
2023,12,Thursday,18,Islamabad,Islamabad,Urban Road,Average,Dusty/Smoggy,Daylight,Truck/Lorry,2,Over Speeding,1,0,0,1,3,0,Medium
2018,5,Friday,23,KPK,Kohat,Rural Road,Good,Clear,Street Light,Bus/Coach,2,Over Speeding,0,0,1,0,4,1,Medium
2020,8,Saturday,20,Balochistan,Chaman,National Highway,Poor,Clear,Street Light,Motorcycle,2,Pedestrian Error,1,1,0,0,5,2,High
2023,1,Monday,14,Sindh,Karachi,National Highway,Good,Clear,Daylight,Motorcycle,4,Pedestrian Error,0,0,0,1,9,0,High
2023,9,Monday,17,Punjab,Sargodha,Provincial Highway,Poor,Clear,Daylight,Van/Pickup,1,Wrong Overtaking,1,0,0,0,2,0,Low
2023,6,Tuesday,12,Sindh,Nawabshah,Urban Road,Good,Clear,No Light,Car/Taxi,3,Over Speeding,1,0,0,0,4,0,Medium
2021,1,Monday,9,Punjab,Rawalpindi,Provincial Highway,Good,Clear,Daylight,Rickshaw,2,Over Speeding,1,0,0,1,1,2,Medium
2018,5,Thursday,21,Punjab,Rahim Yar Khan,Urban Road,Good,Clear,Street Light,Motorcycle,3,Over Speeding,0,0,0,0,3,0,Medium
2020,8,Saturday,22,KPK,Dera Ismail Khan,Provincial Highway,Good,Clear,No Light,Other,2,Wrong Overtaking,0,1,1,0,0,0,Low
2022,12,Tuesday,15,Sindh,Kashmore,Urban Road,Good,Clear,Daylight,Motorcycle,1,Drunk Driving,0,0,0,1,2,0,Medium
2018,2,Monday,7,Sindh,Karachi,National Highway,Poor,Rainy,Daylight,Motorcycle,3,Mechanical Failure,1,0,0,1,11,2,High
2020,2,Saturday,9,Sindh,Hyderabad,Provincial Highway,Good,Foggy,Daylight,Bicycle,2,Signal Violation,1,1,0,1,8,0,High
2021,3,Thursday,7,Punjab,Lahore,Urban Road,Average,Clear,Dawn/Dusk,Motorcycle,4,Over Speeding,1,0,0,0,9,1,High
2023,11,Wednesday,20,Sindh,Sukkur,National Highway,Average,Rainy,Street Light,Rickshaw,2,Driver Fatigue,1,0,0,1,3,1,High
2023,4,Wednesday,14,Sindh,Karachi,Provincial Highway,Average,Rainy,Daylight,Truck/Lorry,2,Over Speeding,0,0,0,0,3,1,High
2022,5,Sunday,23,Punjab,Rahim Yar Khan,National Highway,Average,Dusty/Smoggy,Street Light,Rickshaw,2,Over Speeding,0,1,1,0,4,1,Medium
2018,12,Tuesday,0,KPK,Kohat,Rural Road,Average,Clear,No Light,Motorcycle,3,Weather Condition,0,0,1,1,4,0,Medium
2020,7,Monday,18,Sindh,Kashmore,Provincial Highway,Good,Clear,Daylight,Motorcycle,3,Over Speeding,1,0,0,0,9,0,High
2022,7,Thursday,9,Sindh,Nawabshah,National Highway,Poor,Clear,Street Light,Rickshaw,1,Mechanical Failure,1,0,0,0,2,1,Low
2021,6,Tuesday,6,Balochistan,Quetta,Urban Road,Good,Clear,Daylight,Motorcycle,1,Wrong Overtaking,0,0,0,0,5,1,Medium
2019,5,Friday,20,Balochistan,Quetta,National Highway,Good,Clear,No Light,Truck/Lorry,1,Mobile Phone Use,1,0,0,0,1,0,Medium
2021,12,Friday,15,Balochistan,Gwadar,Provincial Highway,Average,Clear,Daylight,Motorcycle,1,Wrong Overtaking,0,0,0,1,3,0,Medium
2021,7,Sunday,23,Punjab,Multan,National Highway,Average,Clear,Street Light,Motorcycle,2,Pedestrian Error,0,1,1,0,9,1,High
2021,1,Friday,11,Punjab,Bahawalpur,Urban Road,Under Repair,Rainy,Daylight,Motorcycle,2,Wrong Overtaking,0,0,0,1,5,1,Medium
2021,2,Tuesday,11,Punjab,Rahim Yar Khan,National Highway,Average,Foggy,Daylight,Motorcycle,3,Wrong Overtaking,0,0,0,1,2,1,High
2021,7,Sunday,6,Punjab,Sargodha,Motorway,Good,Clear,Daylight,Rickshaw,1,Mechanical Failure,0,1,0,0,5,2,Medium
2020,6,Tuesday,8,Balochistan,Loralai,Urban Road,Average,Foggy,Daylight,Truck/Lorry,1,Pedestrian Error,1,0,0,0,2,0,Medium
2020,9,Wednesday,7,Sindh,Dadu,National Highway,Poor,Foggy,Daylight,Motorcycle,1,Road Condition,1,0,0,0,4,0,Medium
2023,12,Monday,7,Punjab,Bahawalpur,Provincial Highway,Average,Clear,Daylight,Car/Taxi,4,Wrong Overtaking,1,0,0,1,2,0,Medium
2021,5,Tuesday,9,Punjab,Rawalpindi,National Highway,Average,Foggy,Daylight,Motorcycle,1,Over Speeding,1,0,0,0,8,2,High
2020,12,Tuesday,20,Punjab,Multan,Urban Road,Good,Foggy,Street Light,Car/Taxi,4,Over Speeding,1,0,0,1,3,0,Medium
2023,8,Sunday,9,Sindh,Thatta,Urban Road,Good,Clear,Dawn/Dusk,Car/Taxi,1,Over Speeding,1,1,0,0,2,0,Low
